ud_pu,uq_pu,u_mag_pu,delta_theta_deg
-0.009737,0.128053,0.128423,7.540340
-0.008756,0.130623,0.130916,7.505240
-0.006308,0.132389,0.132539,7.504795
-0.005745,0.137233,0.137353,7.474915
-0.009991,0.148396,0.148732,7.462666
-0.015073,0.146891,0.147663,7.448062
-0.019527,0.157193,0.158401,7.455191
-0.022030,0.156763,0.158303,7.466646
-0.018815,0.154280,0.155423,7.498555
-0.015428,0.153578,0.154351,7.494833
-0.020072,0.148647,0.149996,7.501333
-0.018622,0.146481,0.147660,7.530016
-0.019963,0.138075,0.139511,7.581370
-0.018968,0.134347,0.135680,7.573795
-0.014817,0.118486,0.119409,7.598526
-0.007573,0.112238,0.112494,7.584709
-0.009678,0.110328,0.110751,7.567108
-0.006798,0.106066,0.106283,7.551470
-0.007310,0.114839,0.115072,7.569825
-0.008946,0.117486,0.117826,7.543458
-0.007671,0.117960,0.118209,7.522653
-0.003635,0.120636,0.120691,7.525610
-0.007284,0.129136,0.129341,7.510587
-0.007945,0.125875,0.126126,7.513693
-0.009337,0.128633,0.128972,7.535050
-0.010108,0.131317,0.131705,7.539582
-0.009068,0.121710,0.122047,7.522073
-0.003588,0.120961,0.121014,7.501496
-0.003187,0.130598,0.130636,7.478279
-0.007501,0.134564,0.134772,7.451957
-0.012236,0.150338,0.150835,7.460615
-0.019288,0.151290,0.152514,7.437789
-0.016515,0.156599,0.157467,7.456526
-0.014859,0.161284,0.161967,7.477369
-0.014464,0.150951,0.151643,7.480934
-0.017249,0.147432,0.148438,7.482161
-0.021442,0.144033,0.145621,7.532936
-0.026146,0.144554,0.146899,7.563066
-0.018126,0.121719,0.123061,7.568646
-0.011715,0.113574,0.114177,7.583005
-0.007454,0.114295,0.114538,7.568306
-0.008875,0.107606,0.107972,7.537881
-0.008526,0.116718,0.117029,7.548941
-0.010753,0.119484,0.119967,7.542847
-0.008910,0.119577,0.119909,7.542858
-0.006333,0.118031,0.118201,7.519641
-0.008184,0.132988,0.133240,7.518481
-0.009105,0.130875,0.131191,7.498835
-0.012163,0.135195,0.135741,7.508406
-0.014104,0.136586,0.137312,7.514975
-0.010929,0.127567,0.128034,7.522702
-0.002978,0.129423,0.129457,7.534432
-0.004131,0.128445,0.128511,7.504714
-0.005869,0.126783,0.126919,7.480096
-0.011935,0.135889,0.136413,7.477252
-0.017469,0.140490,0.141572,7.461209
-0.017888,0.148319,0.149394,7.439408
-0.014059,0.148687,0.149350,7.459239
-0.014259,0.152174,0.152841,7.482968
-0.017760,0.153540,0.154563,7.477101
-0.023660,0.148785,0.150655,7.487337
-0.024057,0.148404,0.150341,7.505213
-0.018365,0.143362,0.144533,7.540341
-0.014569,0.135442,0.136224,7.569857
-0.009857,0.122320,0.122717,7.577360
-0.011228,0.116923,0.117461,7.572484
-0.010586,0.111105,0.111608,7.567365
-0.009092,0.111630,0.111999,7.552907
-0.009306,0.111932,0.112318,7.540042
-0.005571,0.114236,0.114372,7.548799
-0.004255,0.119422,0.119498,7.527978
-0.006826,0.117840,0.118038,7.506505
-0.007291,0.124098,0.124312,7.509729
-0.009136,0.128447,0.128772,7.506176
-0.010363,0.131421,0.131829,7.516148
-0.007827,0.129993,0.130229,7.533023
-0.003481,0.130107,0.130154,7.516394
-0.007149,0.128489,0.128688,7.497331
-0.007457,0.134379,0.134586,7.477174
-0.011397,0.138484,0.138952,7.467348
-0.013063,0.145345,0.145931,7.451541
-0.012164,0.148482,0.148979,7.448802
-0.008897,0.154731,0.154986,7.453868
-0.016877,0.157497,0.158399,7.470782
-0.019066,0.151316,0.152513,7.489904
-0.022054,0.149034,0.150657,7.488101
-0.023604,0.141178,0.143137,7.502576
-0.015745,0.146130,0.146976,7.544160
-0.012913,0.133801,0.134423,7.564730
-0.013106,0.128631,0.129297,7.568980
-0.010488,0.117717,0.118183,7.579846
-0.012921,0.112873,0.113610,7.575528
-0.011121,0.112704,0.113251,7.544938
-0.008027,0.109844,0.110137,7.547752
-0.006470,0.119804,0.119979,7.540513
-0.006930,0.122179,0.122375,7.534109
-0.009492,0.125001,0.125361,7.517054
-0.010066,0.124499,0.124905,7.530702
-0.010719,0.129643,0.130086,7.510167
-0.007442,0.128130,0.128346,7.521006
-0.005626,0.133305,0.133424,7.537708
-0.005997,0.131772,0.131909,7.519994
-0.006558,0.129566,0.129732,7.513517
-0.006883,0.129878,0.130060,7.496243
-0.012118,0.136225,0.136763,7.471515
-0.009813,0.138204,0.138552,7.473581
-0.010395,0.150137,0.150496,7.461068
-0.012994,0.151833,0.152388,7.460293
-0.018199,0.152369,0.153452,7.471841
-0.022229,0.152120,0.153735,7.489026
-0.023633,0.145511,0.147418,7.481136
-0.018165,0.145223,0.146355,7.502917
-0.015079,0.144442,0.145227,7.529038
-0.013964,0.146564,0.147228,7.561615
-0.013806,0.125124,0.125883,7.560745
-0.011235,0.122334,0.122849,7.594521
-0.007485,0.114128,0.114373,7.565783
-0.008949,0.108662,0.109030,7.559340
-0.003799,0.116436,0.116498,7.565068
-0.005355,0.120264,0.120384,7.555034
-0.006696,0.118033,0.118222,7.532927
-0.008232,0.118554,0.118840,7.534676
-0.011934,0.124524,0.125094,7.514631
-0.009924,0.129801,0.130180,7.512496
-0.006890,0.135539,0.135714,7.523285
-0.009609,0.140080,0.140409,7.549428
-0.007978,0.124349,0.124604,7.517913
-0.007660,0.121874,0.122114,7.528915
-0.009643,0.126844,0.127210,7.490946
-0.006048,0.125884,0.126029,7.467782
-0.006726,0.142985,0.143143,7.475176
-0.010445,0.150609,0.150971,7.466862
-0.014351,0.151990,0.152666,7.458707
-0.019495,0.152379,0.153621,7.484054
-0.022421,0.149815,0.151483,7.479464
-0.020048,0.147945,0.149298,7.482025
-0.021866,0.154944,0.156479,7.495452
-0.016862,0.152587,0.153516,7.530361
-0.017602,0.136584,0.137713,7.562162
-0.016001,0.131503,0.132473,7.578653
-0.013983,0.119396,0.120212,7.583420
-0.011428,0.117949,0.118502,7.561384
-0.008965,0.114934,0.115283,7.565358
-0.008122,0.120410,0.120683,7.557648
-0.008974,0.118831,0.119169,7.546391
-0.007974,0.118107,0.118376,7.552492
-0.009792,0.121477,0.121871,7.546659
-0.008219,0.121458,0.121736,7.528296
-0.006516,0.125567,0.125736,7.536079
-0.004237,0.129746,0.129815,7.529894
-0.007651,0.127588,0.127817,7.537436
-0.007111,0.126977,0.127176,7.532600
-0.008075,0.127382,0.127638,7.518878
-0.008315,0.127438,0.127709,7.492632
-0.007058,0.137784,0.137964,7.476156
-0.005426,0.146215,0.146316,7.473605
-0.013176,0.147785,0.148371,7.454220
-0.015694,0.149046,0.149870,7.465498
-0.020193,0.155384,0.156691,7.469109
-0.021614,0.154507,0.156011,7.479738
-0.015601,0.149200,0.150014,7.495949
-0.013664,0.150396,0.151016,7.502229
-0.016663,0.146210,0.147156,7.529322
-0.017859,0.142906,0.144018,7.567985
-0.014439,0.126485,0.127306,7.576108
-0.015655,0.121125,0.122133,7.576044
-0.009618,0.111494,0.111908,7.580382
-0.007093,0.112752,0.112975,7.569496
-0.007371,0.112484,0.112725,7.556850
-0.006969,0.109466,0.109688,7.556147
-0.007507,0.115213,0.115457,7.545085
-0.009941,0.116814,0.117236,7.511091
-0.006986,0.124278,0.124475,7.519830
-0.005968,0.130298,0.130435,7.505713
-0.008471,0.134653,0.134919,7.514368
-0.009070,0.133951,0.134258,7.519629
-0.009712,0.129789,0.130151,7.542437
-0.011210,0.128200,0.128689,7.503688
-0.008172,0.130531,0.130787,7.508237
-0.007565,0.132162,0.132379,7.474151
-0.009330,0.144456,0.144757,7.476378
-0.012980,0.144272,0.144855,7.460345
-0.018289,0.151863,0.152961,7.468861
-0.022266,0.152777,0.154391,7.456196
