theta_e_meas,theta_e_ctrl,delta_theta_deg,u_mag_pu
0.744628,1.014760,15.477396,0.156945
3.211295,3.481974,15.508739,0.153107
5.663765,5.934189,15.494128,0.155681
1.808575,2.077590,15.413445,0.156185
4.247895,4.516538,15.392092,0.168269
0.398451,0.666634,15.365746,0.171532
2.826698,3.094327,15.334042,0.181544
5.262809,5.530420,15.332974,0.189305
1.418128,1.685818,15.337515,0.191715
3.873282,4.141917,15.391617,0.191620
0.072661,0.343131,15.496779,0.183031
2.526118,2.796478,15.490479,0.168866
4.981272,5.251628,15.490238,0.161152
1.155925,1.426392,15.496615,0.156699
3.618672,3.889453,15.514600,0.156396
6.067301,0.054410,15.486709,0.157060
2.235873,2.506041,15.479453,0.157889
4.688155,4.958232,15.474316,0.159041
0.858739,1.128814,15.474145,0.158844
3.331384,3.602300,15.522370,0.152995
5.781148,6.051643,15.498218,0.153698
1.928956,2.198169,15.424767,0.158003
4.364291,4.632925,15.391593,0.166344
0.518413,0.786735,15.373701,0.171761
2.945863,3.213510,15.335056,0.179251
5.390972,5.659015,15.357774,0.184374
1.542953,1.810757,15.344075,0.189134
4.002555,4.271432,15.405545,0.187978
0.194594,0.464877,15.486039,0.182327
2.649226,2.919519,15.486618,0.174602
5.102911,5.373088,15.479980,0.161006
1.286372,1.557153,15.514589,0.156225
3.746434,4.017312,15.520168,0.155429
6.197772,0.185043,15.496068,0.158018
2.363280,2.633422,15.477983,0.154142
4.824580,5.095078,15.498386,0.157993
0.991389,1.261568,15.480101,0.154748
3.466678,3.737825,15.535603,0.150148
5.909352,6.179634,15.486044,0.152210
2.055714,2.324728,15.413390,0.157285
4.489308,4.757737,15.379833,0.164461
0.637914,0.905826,15.350229,0.175288
3.068237,3.335745,15.327109,0.182138
5.515569,5.783663,15.360697,0.187150
1.659289,1.926769,15.325427,0.191603
4.123416,4.392306,15.406244,0.192134
0.317828,0.588231,15.492915,0.183571
2.768031,3.038206,15.479851,0.175951
5.223147,5.493369,15.482551,0.164911
1.408053,1.678912,15.519063,0.156409
3.860272,4.130842,15.502512,0.154507
0.030124,0.300457,15.488947,0.160065
2.484942,2.755281,15.489256,0.156455
4.941248,5.211626,15.491485,0.157766
1.122006,1.392752,15.512587,0.152068
3.589847,3.861018,15.536972,0.149692
6.033782,0.020945,15.489830,0.151010
2.179870,2.448922,15.415538,0.160143
4.612437,4.880820,15.377215,0.166515
0.753745,1.021273,15.328237,0.175931
3.187381,3.454764,15.319925,0.185117
5.639725,5.907950,15.368138,0.187396
1.783736,2.051332,15.332140,0.186903
4.245730,4.514583,15.404123,0.186211
0.437266,0.707532,15.485093,0.180274
