ud_pu,uq_pu,u_mag_pu,delta_theta_deg
-0.005715,0.128313,0.128440,10.030202
-0.003400,0.130001,0.130045,10.037098
-0.001405,0.132840,0.132848,10.040153
-0.001537,0.132177,0.132186,10.068851
-0.001218,0.129483,0.129489,10.036947
-0.002023,0.130250,0.130266,10.042786
-0.005630,0.133115,0.133234,9.992811
-0.004481,0.138943,0.139015,9.975349
-0.002188,0.144633,0.144649,9.977204
-0.006974,0.146281,0.146447,9.958446
-0.007830,0.148709,0.148915,9.954775
-0.014215,0.153257,0.153914,9.981275
-0.019682,0.151534,0.152807,9.980950
-0.014833,0.148778,0.149516,9.994098
-0.009093,0.145560,0.145844,10.000898
-0.009454,0.147060,0.147364,10.040242
-0.011081,0.137034,0.137481,10.078362
-0.010376,0.127020,0.127443,10.105349
-0.012248,0.120769,0.121389,10.106824
-0.010198,0.112920,0.113379,10.094040
-0.005011,0.113610,0.113721,10.088244
-0.002778,0.117259,0.117292,10.080181
-0.003139,0.112165,0.112209,10.068359
-0.002421,0.119375,0.119399,10.066658
-0.004910,0.122640,0.122739,10.036362
-0.004223,0.124882,0.124953,10.030352
-0.002546,0.126556,0.126582,10.034765
0.000145,0.131185,0.131185,10.025178
-0.003951,0.130462,0.130522,10.034138
-0.001800,0.135253,0.135265,10.049307
-0.005319,0.132846,0.132952,10.012843
-0.005673,0.135114,0.135233,9.996791
-0.003159,0.138593,0.138629,9.985775
-0.001872,0.140203,0.140215,9.979063
-0.007757,0.148834,0.149036,9.936071
-0.012338,0.155452,0.155941,9.948420
-0.017897,0.155022,0.156051,9.951553
-0.016873,0.155885,0.156796,9.983290
-0.012235,0.152083,0.152574,9.999019
-0.009304,0.148313,0.148605,10.011992
-0.011231,0.141400,0.141846,10.043509
-0.012402,0.136213,0.136776,10.097540
-0.010680,0.129452,0.129892,10.096752
-0.011471,0.123212,0.123745,10.096305
-0.001666,0.117225,0.117237,10.107171
-0.001938,0.113878,0.113895,10.076120
-0.002139,0.114298,0.114318,10.057572
-0.002651,0.117888,0.117917,10.077049
-0.003484,0.121944,0.121994,10.063391
-0.005555,0.121468,0.121595,10.031960
0.000210,0.120441,0.120441,10.040047
0.000914,0.129091,0.129094,10.028235
-0.002155,0.129784,0.129802,10.025074
-0.008622,0.132845,0.133124,10.036345
-0.003182,0.130249,0.130288,10.061029
-0.001738,0.126640,0.126652,10.010948
0.000221,0.125822,0.125823,10.009974
0.001857,0.133152,0.133165,9.964479
-0.003555,0.142546,0.142590,9.946300
-0.008570,0.149024,0.149270,9.927703
-0.013925,0.154231,0.154859,9.934488
-0.019193,0.156931,0.158100,9.939379
-0.017179,0.150419,0.151397,9.986754
-0.010474,0.149530,0.149896,9.979631
-0.011446,0.147422,0.147865,9.983254
-0.013448,0.150925,0.151523,10.031808
-0.015595,0.139553,0.140422,10.100951
-0.012118,0.125079,0.125665,10.075511
-0.006902,0.115567,0.115773,10.109920
-0.000954,0.112564,0.112568,10.090089
-0.003250,0.114852,0.114898,10.081252
-0.002329,0.113987,0.114011,10.043991
0.001481,0.121698,0.121707,10.059768
-0.005169,0.120857,0.120968,10.027806
-0.002983,0.122889,0.122925,10.023419
0.001897,0.130079,0.130093,10.023151
-0.003295,0.131594,0.131636,10.019648
-0.003284,0.133137,0.133178,10.000591
