dbg_omega_pll_rad_s,dbg_iq_a,dbg_iq_cmd_a,iq_sweep.active
109.411018,0.074902,0.085634,0.000000
112.147568,0.344277,0.117771,0.000000
108.609306,0.218494,0.117771,0.000000
102.168159,0.322372,0.169141,0.000000
101.655640,-0.052595,0.169141,0.000000
100.257744,0.042076,0.211166,0.000000
95.406265,0.418099,0.211166,0.000000
92.862389,0.135157,0.288615,0.000000
95.469864,0.181168,0.288615,0.000000
96.110252,0.264860,0.263293,0.000000
93.553795,0.189284,0.263293,0.000000
96.083878,0.301944,0.290972,0.000000
101.333229,0.503247,0.290972,0.000000
99.766571,0.457689,0.216571,0.000000
102.661552,-0.070818,0.216571,0.000000
106.474541,0.258874,0.177934,0.000000
103.232803,0.278871,0.177934,0.000000
97.989868,0.209056,0.216099,0.000000
96.948227,0.156045,0.216099,0.000000
97.225891,0.297374,0.253862,0.000000
92.637962,0.162702,0.253862,0.000000
88.043396,0.315232,0.325200,0.000000
90.227089,0.123709,0.325200,0.000000
89.083015,0.368802,0.315391,0.000000
85.071587,0.171182,0.315391,0.000000
88.345764,0.364573,0.374219,0.000000
91.425217,0.335863,0.374219,0.000000
91.508751,0.207413,0.307153,0.000000
92.234352,0.264235,0.307153,0.000000
97.914032,0.424696,0.286933,0.000000
101.780983,0.175943,0.286933,0.000000
100.063110,0.335110,0.213533,0.000000
102.802071,0.354570,0.213533,0.000000
107.260681,0.047555,0.167916,0.000000
103.532166,0.271144,0.167916,0.000000
102.959877,0.208349,0.202181,0.000000
105.855453,0.216382,0.202181,0.000000
105.235786,0.104564,0.165864,0.000000
102.040138,0.195703,0.165864,0.000000
102.029907,0.248991,0.210743,0.000000
103.850571,-0.089451,0.210743,0.000000
100.976143,0.170671,0.193583,0.000000
99.639084,0.062532,0.193583,0.000000
104.603737,0.373009,0.212073,0.000000
103.658699,0.202274,0.212073,0.000000
100.327271,0.086814,0.207295,0.000000
104.807663,0.301840,0.207295,0.000000
107.772049,0.085948,0.161142,0.000000
101.311455,-0.045563,0.161142,0.000000
97.234253,0.214584,0.234571,0.000000
97.629539,0.170759,0.234571,0.000000
95.028397,0.080407,0.252301,0.000000
89.550491,0.311390,0.252301,0.000000
91.565819,0.371224,0.333939,0.000000
94.763977,0.296175,0.333939,0.000000
92.408600,0.344691,0.286430,0.000000
94.990334,0.380157,0.286430,0.000000
101.815346,0.249369,0.247483,0.000000
104.681808,0.575985,0.247483,0.000000
105.637955,0.598341,0.174988,0.000000
111.528938,-0.022562,0.174988,0.000000
115.930847,0.296782,0.083383,0.000000
113.255318,0.081350,0.083383,0.000000
111.358055,0.230045,0.109754,0.000000
114.341232,0.219213,0.109754,0.000000
109.989319,0.135265,0.089646,0.000000
104.025269,-0.008367,0.089646,0.000000
104.445328,0.232316,0.188520,0.000000
101.728218,0.384816,0.188520,0.000000
96.225906,0.312677,0.230481,0.000000
94.461212,0.202382,0.230481,0.000000
96.673767,0.211720,0.275668,0.000000
96.134659,0.233077,0.275668,0.000000
94.098785,0.373771,0.271519,0.000000
98.224854,0.154246,0.271519,0.000000
102.507813,0.091358,0.218814,0.000000
100.795395,0.117259,0.218814,0.000000
102.672508,0.038402,0.216170,0.000000
105.781563,0.344660,0.216170,0.000000
102.481384,0.357645,0.174435,0.000000
97.868843,0.097591,0.174435,0.000000
98.401428,0.274610,0.252895,0.000000
97.647873,0.199519,0.252895,0.000000
91.781410,0.154313,0.268778,0.000000
89.553627,0.419836,0.268778,0.000000
91.821098,0.125830,0.320346,0.000000
88.695107,0.503981,0.320346,0.000000
86.167908,0.378413,0.358249,0.000000
90.164894,0.208961,0.358249,0.000000
93.385696,0.416398,0.309278,0.000000
93.184143,0.213773,0.309278,0.000000
95.812149,0.297214,0.291782,0.000000
102.080078,0.561393,0.291782,0.000000
103.476837,0.236391,0.189636,0.000000
101.073891,0.173816,0.189636,0.000000
105.174377,0.376186,0.206605,0.000000
107.277893,0.189195,0.206605,0.000000
103.496063,0.242922,0.166759,0.000000
104.135399,0.127796,0.166759,0.000000
106.444107,0.168617,0.170685,0.000000
105.894814,0.131850,0.170685,0.000000
102.550758,0.325052,0.183273,0.000000
103.030243,0.033469,0.183273,0.000000
103.904480,0.494190,0.187731,0.000000
100.033569,-0.037343,0.187731,0.000000
99.995232,0.104445,0.235364,0.000000
104.282303,0.295987,0.235364,0.000000
103.081490,0.271745,0.181188,0.000000
101.207947,0.038751,0.181188,0.000000
103.393288,0.148850,0.206604,0.000000
102.448990,0.294502,0.206604,0.000000
98.022774,0.533045,0.218076,0.000000
97.323654,0.387370,0.218076,0.000000
98.256744,0.189904,0.248141,0.000000
95.034927,-0.005126,0.248141,0.000000
90.155922,0.260867,0.301455,0.000000
93.576660,0.286846,0.301455,0.000000
95.773796,0.152139,0.268596,0.000000
93.012375,0.373166,0.268596,0.000000
97.260956,0.120656,0.291236,0.000000
103.955414,0.432543,0.291236,0.000000
104.947227,0.154031,0.178264,0.000000
106.168221,0.437104,0.178264,0.000000
111.270805,0.303549,0.150003,0.000000
113.757851,0.178153,0.150003,0.000000
110.607620,0.154015,0.096408,0.000000
110.023102,0.157961,0.096408,0.000000
111.725441,0.194448,0.114738,0.000000
105.699455,0.186719,0.114738,0.000000
100.891647,0.024536,0.197129,0.000000
101.096794,0.116907,0.197129,0.000000
98.650940,0.201861,0.220403,0.000000
93.857979,0.140435,0.220403,0.000000
93.257111,0.254237,0.295020,0.000000
95.859421,0.107370,0.295020,0.000000
95.118996,0.326171,0.265638,0.000000
92.891846,0.133645,0.265638,0.000000
97.289726,0.104551,0.286587,0.000000
100.652794,0.303061,0.286587,0.000000
98.786781,-0.085851,0.231495,0.000000
103.621811,0.265942,0.231495,0.000000
105.762489,0.082553,0.174595,0.000000
101.433464,0.251161,0.174595,0.000000
97.217873,0.231548,0.232279,0.000000
96.965668,0.204534,0.232279,0.000000
96.571838,0.321506,0.250644,0.000000
90.904114,0.319279,0.250644,0.000000
88.860527,-0.051098,0.334223,0.000000
91.419823,0.306276,0.334223,0.000000
87.771805,0.302198,0.317479,0.000000
85.151527,0.185958,0.317479,0.000000
90.166397,0.283206,0.355617,0.000000
91.395851,0.362069,0.355617,0.000000
90.831810,0.246464,0.312206,0.000000
92.688507,0.243479,0.312206,0.000000
99.157211,0.352593,0.276514,0.000000
101.070351,0.358286,0.276514,0.000000
99.845215,0.130217,0.222743,0.000000
104.990067,-0.035147,0.222743,0.000000
106.871483,0.489075,0.155437,0.000000
102.860657,0.212371,0.155437,0.000000
104.030403,0.251577,0.199986,0.000000
106.329994,0.172801,0.199986,0.000000
104.722443,0.046008,0.161652,0.000000
102.268364,0.144222,0.161652,0.000000
103.305695,0.228155,0.204397,0.000000
104.023674,0.239958,0.204397,0.000000
100.354942,0.073591,0.197378,0.000000
101.117447,0.268009,0.197378,0.000000
105.259735,0.224745,0.193773,0.000000
102.465340,0.224207,0.193773,0.000000
100.955193,0.041750,0.216535,0.000000
105.958206,0.271484,0.216535,0.000000
106.183960,0.092538,0.151164,0.000000
99.653503,0.135901,0.151164,0.000000
97.229691,0.484640,0.246246,0.000000
97.830818,0.185088,0.246246,0.000000
93.418686,0.332822,0.256206,0.000000
89.535957,0.291014,0.256206,0.000000
93.530151,0.276008,0.320873,0.000000
95.096375,0.165740,0.320873,0.000000
92.610329,0.272511,0.288099,0.000000
97.713539,0.380444,0.288099,0.000000
103.265472,0.187511,0.221849,0.000000
105.300087,0.267928,0.221849,0.000000
107.217178,0.186636,0.172531,0.000000
113.729111,0.321119,0.172531,0.000000
115.707222,0.188655,0.070903,0.000000
112.000618,0.068356,0.070903,0.000000
112.451630,0.194179,0.112848,0.000000
113.736046,0.153160,0.112848,0.000000
107.142426,0.142020,0.109908,0.000000
103.589287,0.088785,0.109908,0.000000
103.428688,0.415540,0.186556,0.000000
99.584610,-0.163347,0.186556,0.000000
94.931870,0.214931,0.252102,0.000000
