file,frequency_hz,gain_db,phase_deg
I_B=0.3_A=0.2_1-100HZ_D=40s.csv,2.01630471680128,0.231796600377342,-0.539540862200141
I_B=0.3_A=0.2_1-100HZ_D=40s.csv,2.27231065204156,0.172181454242927,-0.738854033877828
I_B=0.3_A=0.2_1-100HZ_D=40s.csv,2.5608211181358,0.0417000866649894,-1.15782803153121
I_B=0.3_A=0.2_1-100HZ_D=40s.csv,2.88596314645554,-0.142025669242863,0.0028508193714174
I_B=0.3_A=0.2_1-100HZ_D=40s.csv,3.25238776879606,0.0829350604126119,0.100069566324976
I_B=0.3_A=0.2_1-100HZ_D=40s.csv,3.66533654859935,0.0926576426681242,-0.817690714498468
I_B=0.3_A=0.2_1-100HZ_D=40s.csv,4.13071655950523,0.134902911834711,-0.598551658244901
I_B=0.3_A=0.2_1-100HZ_D=40s.csv,4.65518488377036,0.274178384043187,-2.53937357835645
I_B=0.3_A=0.2_1-100HZ_D=40s.csv,5.24624383927223,-0.0704717766966796,-1.5169929597819
I_B=0.3_A=0.2_1-100HZ_D=40s.csv,5.91234829728398,0.18988896933383,-1.92734945134825
I_B=0.3_A=0.2_1-100HZ_D=40s.csv,6.66302662615963,-0.0839289316388621,-0.656024520039836
I_B=0.3_A=0.2_1-100HZ_D=40s.csv,7.50901699098255,0.0389995722624723,-1.56306210099686
I_B=0.3_A=0.2_1-100HZ_D=40s.csv,8.46242095889139,0.046933690668193,-3.12156111158868
I_B=0.3_A=0.2_1-100HZ_D=40s.csv,9.53687660734855,-0.113032249492701,-0.567943167289684
I_B=0.3_A=0.2_1-100HZ_D=40s.csv,10.7477536115985,-0.14701266642301,-3.74215198038488
I_B=0.3_A=0.2_1-100HZ_D=40s.csv,12.1123731019672,0.135344498199159,-3.68633370299261
I_B=0.3_A=0.2_1-100HZ_D=40s.csv,13.6502554359766,-0.000279853262418941,-3.20166391726181
I_B=0.3_A=0.2_1-100HZ_D=40s.csv,15.3833994295589,-0.151118591809651,-5.66106521225612
I_B=0.3_A=0.2_1-100HZ_D=40s.csv,17.3365970416673,-0.00161022419491468,-5.29852658245946
I_B=0.3_A=0.2_1-100HZ_D=40s.csv,19.5377880137228,0.0729284429504716,-1.26655453776343
I_B=0.3_A=0.2_1-100HZ_D=40s.csv,22.0184595368815,-0.242004977769583,-2.60112834739189
I_B=0.3_A=0.2_1-100HZ_D=40s.csv,24.8140966642062,0.258270006432908,-6.32753186040088
I_B=0.3_A=0.2_1-100HZ_D=40s.csv,27.9646899107174,0.222663181954715,-1.71666584654281
I_B=0.3_A=0.2_1-100HZ_D=40s.csv,31.5153073023462,-0.0559999486307607,-8.44942993137033
I_B=0.3_A=0.2_1-100HZ_D=40s.csv,35.5167390567297,0.088351858089575,-7.37902067640715
I_B=0.3_A=0.2_1-100HZ_D=40s.csv,40.0262241177614,0.56042480542339,-4.69808237174163
I_B=0.3_A=0.2_1-100HZ_D=40s.csv,45.1082689366917,0.120571203993433,-8.70413996265594
I_B=0.3_A=0.2_1-100HZ_D=40s.csv,50.8355702121299,0.25135907311908,-12.3017991343715
I_B=0.3_A=0.2_1-100HZ_D=40s.csv,57.2900547883875,-0.26653923459573,-8.12229173597825
