theta_e_meas,theta_e_ctrl,delta_theta_deg,u_mag_pu
3.277328,3.653873,21.574480,0.272189
1.229308,1.607648,21.677280,0.270551
5.429408,5.807710,21.675127,0.279920
3.344647,3.722765,21.664537,0.268450
1.258035,1.635987,21.655092,0.269486
5.460967,5.839048,21.662462,0.272280
3.433518,3.813802,21.788651,0.267031
1.334850,1.713819,21.713278,0.254067
5.512300,5.890187,21.651375,0.261964
3.398385,3.775043,21.580967,0.275979
1.296443,1.672874,21.567924,0.272413
5.523871,5.902079,21.669701,0.286616
3.435313,3.813222,21.652565,0.279417
1.364896,1.743404,21.686943,0.263014
5.555577,5.933622,21.660423,0.266298
3.475825,3.854107,21.673935,0.271677
1.419919,1.799344,21.739433,0.266550
5.632768,6.012156,21.737360,0.255729
3.528459,3.906576,21.664516,0.265814
1.417814,1.794811,21.600307,0.271837
5.601367,5.978185,21.590086,0.271395
3.499888,3.876499,21.578197,0.279482
1.456439,1.835007,21.690350,0.280835
5.658724,6.037359,21.694155,0.264797
3.566808,3.944993,21.668385,0.267208
1.482461,1.860631,21.667524,0.272349
5.687048,6.065373,21.676416,0.264902
3.647542,4.027504,21.770256,0.261344
1.539751,1.918072,21.676180,0.262774
5.730853,6.108732,21.650839,0.265745
3.612345,3.988877,21.573713,0.270200
1.520762,1.897481,21.584379,0.284969
5.755387,6.134131,21.700480,0.286435
3.668063,4.046403,21.677267,0.254235
1.594163,1.972809,21.694817,0.261314
5.783986,6.161979,21.657438,0.262369
3.704803,4.083012,21.669796,0.265594
1.638011,2.016850,21.705866,0.264291
5.859711,6.238952,21.728891,0.267345
3.747787,4.125482,21.640278,0.263221
1.648951,2.026092,21.608572,0.260666
5.826820,6.203467,21.580273,0.283458
3.726073,4.102525,21.569099,0.278471
1.682944,2.061335,21.680212,0.277479
5.882897,6.261199,21.675087,0.276305
3.810819,4.189463,21.694729,0.264844
1.707913,2.085566,21.637880,0.266427
5.926177,0.021376,21.679834,0.263223
3.882518,4.262239,21.756433,0.258452
1.775417,2.153504,21.662750,0.252365
5.958718,0.052953,21.624601,0.261045
3.829682,4.205348,21.524107,0.274831
1.743327,2.119565,21.556826,0.272648
5.961819,0.056314,21.639448,0.289822
3.872062,4.249520,21.626772,0.291347
1.795480,2.173311,21.648132,0.271711
5.989411,0.083870,21.637442,0.269477
3.908610,4.286484,21.650589,0.271730
1.846749,2.225546,21.703449,0.271112
6.073461,0.169743,21.741877,0.256138
3.947989,4.325295,21.618010,0.260490
1.856074,2.233131,21.603741,0.270088
6.021947,0.114865,21.549150,0.275441
3.928607,4.304918,21.561062,0.285783
1.878680,2.256683,21.657961,0.283382
6.071101,0.165619,21.640858,0.265867
3.997348,4.375518,21.667582,0.265362
1.893939,2.271287,21.620457,0.266142
6.109263,0.204169,21.663059,0.267149
4.053315,4.432387,21.719229,0.259450
1.959115,2.337322,21.669649,0.269210
6.143275,0.237611,21.630396,0.273794
4.021348,4.397432,21.548058,0.272252
1.929748,2.306083,21.562439,0.289311
6.163552,0.258676,21.675535,0.291043
4.085437,4.463853,21.681639,0.260564
2.006061,2.384488,21.682312,0.255635
6.204754,0.299740,21.667593,0.267582
4.122613,4.500833,21.670424,0.265107
2.062177,2.441258,21.719774,0.265704
6.279662,0.375767,21.731750,0.264244
4.168221,4.546026,21.646637,0.262938
2.075131,2.452570,21.625647,0.259446
6.244590,0.337987,21.576590,0.286647
4.148105,4.524715,21.578171,0.287509
2.097758,2.475993,21.671259,0.278877
0.017417,0.395755,21.677185,0.279099
4.218312,4.596610,21.674831,0.271156
2.130801,2.508895,21.663206,0.267957
0.058955,0.437472,21.687435,0.272437
4.300958,4.680856,21.766573,0.268971
2.202017,2.580656,21.694431,0.257291
0.111507,0.489684,21.667952,0.266104
4.268928,4.645304,21.564753,0.272097
2.181521,2.558241,21.584457,0.271753
0.129497,0.507966,21.684710,0.280322
4.322845,4.700926,21.662500,0.279116
2.245629,2.623928,21.674889,0.269475
0.156335,0.534284,21.654907,0.273278
4.360461,4.738599,21.665688,0.277957
2.321668,2.701603,21.768675,0.276385
0.238330,0.617561,21.728355,0.257371
4.415443,4.793409,21.655830,0.261323
2.309833,2.686833,21.600517,0.276479
0.207599,0.584254,21.580696,0.276193
4.402308,4.779288,21.599342,0.292998
2.348880,2.727210,21.676693,0.290643
0.275588,0.654259,21.696270,0.269402
4.473590,4.851971,21.679638,0.267961
2.392789,2.771182,21.680334,0.263080
0.329751,0.708788,21.717234,0.263798
4.565734,4.945737,21.772562,0.256148
2.458950,2.837324,21.679251,0.262880
0.359296,0.736898,21.635027,0.273010
4.520303,4.896513,21.555229,0.271377
2.422198,2.798338,21.551245,0.288009
0.381377,0.759863,21.685667,0.292601
4.577067,4.955278,21.669882,0.269564
2.501136,2.879570,21.682682,0.264708
0.407983,0.785825,21.648745,0.271685
4.614878,4.993066,21.668579,0.270204
2.572980,2.952818,21.763105,0.267732
0.484273,0.863229,21.712555,0.268741
4.670321,5.048483,21.667095,0.266863
2.557622,2.934527,21.595037,0.265321
0.462036,0.838899,21.592628,0.282660
4.660269,5.037592,21.619026,0.283580
2.605582,2.984127,21.688988,0.263781
