ud_pu,uq_pu,u_mag_pu,delta_theta_deg
-0.059738,0.208104,0.216509,18.075279
-0.060460,0.208047,0.216654,18.110237
-0.050287,0.211592,0.217485,18.148943
-0.045268,0.206552,0.211454,18.052135
-0.060746,0.208083,0.216769,17.999058
-0.061373,0.223757,0.232022,17.966848
-0.072136,0.227100,0.238281,17.949545
-0.082169,0.228635,0.242952,17.946087
-0.080177,0.236520,0.249740,18.076603
-0.073916,0.222139,0.234114,18.058247
-0.064676,0.211770,0.221426,18.076664
-0.057697,0.216160,0.223728,18.082462
-0.056741,0.212974,0.220403,18.040092
-0.060858,0.214016,0.222500,18.071142
-0.056839,0.216596,0.223930,18.140400
-0.052710,0.211612,0.218078,18.104904
-0.057179,0.211499,0.219092,18.034468
-0.060898,0.224596,0.232706,18.010790
-0.072311,0.221795,0.233285,17.923969
-0.077592,0.225731,0.238694,17.952433
-0.085152,0.229518,0.244804,18.007614
-0.074178,0.222304,0.234353,18.057014
-0.071491,0.212057,0.223784,18.074734
-0.061899,0.208728,0.217713,18.086163
-0.059721,0.211929,0.220183,18.058575
-0.062589,0.212766,0.221781,18.052160
-0.063805,0.215207,0.224467,18.059389
-0.055030,0.207508,0.214681,18.104132
-0.052705,0.208751,0.215302,18.065811
-0.060127,0.220330,0.228387,18.026196
-0.063968,0.224214,0.233161,17.965809
-0.072896,0.229562,0.240858,17.960974
-0.088138,0.240612,0.256247,17.952108
-0.075210,0.229493,0.241503,18.058634
-0.066952,0.217407,0.227483,18.068663
-0.065936,0.211890,0.221912,18.093473
-0.059448,0.211414,0.219614,18.104816
-0.063032,0.215073,0.224119,18.088728
-0.060995,0.215098,0.223579,18.106958
-0.054887,0.207898,0.215021,18.138973
-0.050337,0.213724,0.219571,18.118587
-0.061782,0.218068,0.226651,18.031073
-0.062193,0.222576,0.231102,17.997921
-0.067983,0.225866,0.235875,17.966751
-0.083672,0.226325,0.241297,17.964607
-0.076152,0.241396,0.253122,18.002764
-0.069778,0.233368,0.243576,18.088789
-0.078903,0.219765,0.233500,18.077599
-0.060660,0.215521,0.223895,18.116564
-0.056158,0.207746,0.215203,18.101658
-0.062016,0.211219,0.220135,18.082411
-0.054026,0.214554,0.221251,18.102518
-0.049158,0.207111,0.212865,18.166967
-0.051175,0.209119,0.215290,18.106398
-0.051560,0.212832,0.218988,18.035879
-0.059029,0.221272,0.229010,17.996788
-0.072622,0.217307,0.229121,17.942093
-0.070178,0.230273,0.240729,17.968645
-0.073593,0.230367,0.241836,18.067110
-0.078130,0.215759,0.229470,18.049400
-0.067533,0.214618,0.224993,18.069981
-0.060960,0.210238,0.218898,18.085850
-0.064856,0.210858,0.220607,18.028305
-0.063796,0.215813,0.225045,18.052296
-0.058652,0.212991,0.220919,18.096561
-0.053065,0.207164,0.213852,18.104731
-0.053944,0.208625,0.215487,18.038828
-0.060402,0.219739,0.227890,17.999439
-0.073739,0.221463,0.233417,17.951134
-0.071207,0.227228,0.238124,17.966978
-0.075707,0.226798,0.239100,17.974810
-0.073392,0.214746,0.226941,18.054689
-0.065224,0.210621,0.220489,18.063454
-0.062949,0.211641,0.220804,18.068157
-0.061135,0.210071,0.218786,18.083096
-0.062339,0.218565,0.227282,18.061966
-0.059601,0.213865,0.222015,18.058193
-0.053190,0.207851,0.214549,18.105631
-0.050048,0.212922,0.218725,18.072855
-0.058056,0.223043,0.230475,17.987103
-0.068915,0.223049,0.233453,17.968544
-0.073142,0.230307,0.241642,17.941488
-0.074972,0.232720,0.244499,17.933493
-0.086195,0.227736,0.243502,18.023018
-0.075178,0.228808,0.240842,18.068146
-0.071260,0.217400,0.228781,18.073296
-0.068245,0.213247,0.223901,18.086706
-0.061889,0.216118,0.224804,18.072094
-0.062249,0.214435,0.223287,18.067648
-0.061841,0.210402,0.219301,18.114304
-0.051181,0.213032,0.219094,18.143290
-0.048972,0.212197,0.217775,18.048964
-0.058416,0.211335,0.219260,18.014299
-0.062544,0.224085,0.232650,17.966629
-0.073575,0.231067,0.242498,17.944290
-0.081530,0.228214,0.242340,17.950130
-0.083338,0.235871,0.250161,18.078627
-0.073214,0.225391,0.236984,18.061920
-0.064643,0.210233,0.219946,18.085594
-0.060869,0.212385,0.220935,18.091709
-0.054380,0.206655,0.213690,18.051428
-0.059841,0.211477,0.219781,18.087835
-0.056584,0.212929,0.220319,18.142015
-0.051717,0.210449,0.216711,18.109989
-0.058943,0.211336,0.219401,18.043428
-0.065405,0.223394,0.232772,18.003181
-0.071909,0.229866,0.240851,17.938839
-0.076611,0.227805,0.240342,17.954168
-0.086545,0.229948,0.245695,18.029892
-0.070389,0.219991,0.230978,18.074263
-0.064205,0.210959,0.220513,18.092087
-0.062703,0.211387,0.220491,18.100382
-0.059273,0.215032,0.223052,18.075188
-0.059488,0.212155,0.220337,18.083620
-0.058974,0.212965,0.220979,18.099201
-0.047797,0.203150,0.208697,18.120890
-0.046967,0.208623,0.213844,18.058317
-0.067283,0.221519,0.231512,17.999832
-0.064649,0.233275,0.242068,17.955849
-0.071852,0.233584,0.244385,17.977684
-0.088570,0.235324,0.251440,17.954037
-0.071950,0.226733,0.237876,18.074932
-0.063306,0.216387,0.225457,18.071079
-0.065775,0.213910,0.223794,18.072842
-0.059473,0.214099,0.222205,18.090342
-0.059967,0.217330,0.225451,18.088995
-0.064941,0.216176,0.225720,18.094818
-0.055228,0.208150,0.215352,18.147305
-0.047755,0.214193,0.219452,18.128656
-0.060372,0.218287,0.226482,18.024292
-0.059753,0.224364,0.232184,18.002728
-0.069184,0.231060,0.241195,17.965103
-0.085902,0.229772,0.245304,17.965239
-0.076128,0.236288,0.248248,18.001667
-0.074364,0.232924,0.244507,18.076616
-0.079839,0.215170,0.229505,18.071352
-0.062494,0.209903,0.219008,18.102585
-0.056259,0.206983,0.214492,18.091089
-0.061268,0.211825,0.220508,18.068991
-0.058856,0.210737,0.218801,18.098503
-0.050147,0.209148,0.215076,18.147051
-0.052621,0.208465,0.215004,18.089287
-0.056195,0.206274,0.213792,18.034275
-0.058843,0.217307,0.225133,17.981220
-0.072282,0.216488,0.228236,17.930622
-0.074011,0.232186,0.243696,17.944901
-0.077138,0.236320,0.248591,18.061066
-0.075358,0.220852,0.233355,18.045662
-0.065188,0.214580,0.224263,18.074951
-0.055927,0.208544,0.215913,18.089811
-0.066250,0.212983,0.223049,18.031267
-0.060229,0.218388,0.226541,18.055954
-0.055480,0.212811,0.219924,18.091434
-0.054392,0.208467,0.215446,18.088907
-0.054306,0.208824,0.215770,18.021679
-0.062390,0.221193,0.229824,17.998941
-0.069875,0.225903,0.236463,17.939804
-0.073506,0.228098,0.239650,17.957264
-0.078203,0.235583,0.248224,17.959824
