raw21,omega_pll_rad_s,iq_ref_a,dbg_iq_a
1949249.000000,105.623459,0.217675,0.199904
1933084.000000,101.992012,0.169421,0.137271
1917583.000000,97.422783,0.169421,0.114367
1900996.000000,97.742256,0.253608,0.194213
1884783.000000,96.782051,0.253608,0.242729
1870319.000000,90.873695,0.265118,0.198316
1855252.000000,89.185143,0.265118,0.149344
1839019.000000,91.841774,0.326724,0.492976
1824632.000000,88.178871,0.326724,0.000000
1810208.000000,86.297363,0.352483,0.251293
1794014.000000,90.712807,0.352483,0.427559
1777865.000000,93.722504,0.308295,0.321788
1762456.000000,93.528137,0.308295,0.265695
1746010.000000,96.598801,0.287144,0.266179
1728196.000000,102.750366,0.287144,0.246767
1711252.000000,103.734665,0.186791,0.158433
1695239.000000,101.323128,0.186791,0.419829
1677112.000000,105.926132,0.206687,0.324356
1659390.000000,107.251884,0.206687,0.264662
1643247.000000,103.133224,0.160265,0.188238
1625795.000000,104.208870,0.160265,0.166116
1607874.000000,106.121056,0.175795,0.090424
1590832.000000,104.704575,0.175795,0.172351
1574414.000000,101.700775,0.184615,0.253402
1557058.000000,102.569481,0.184615,0.078140
1539618.000000,103.305435,0.193689,0.224923
1523580.000000,99.542656,0.193689,0.155605
1506619.000000,100.120247,0.235593,-0.027378
1488401.000000,104.313011,0.235593,0.220490
1471611.000000,102.805908,0.180007,0.178989
1455010.000000,101.257149,0.180007,0.127335
1437238.000000,103.789246,0.209558,0.215245
1420305.000000,102.791626,0.209558,0.240220
1404616.000000,98.321434,0.206464,-0.094719
1388382.000000,97.121483,0.206464,0.020871
1371609.000000,98.031860,0.251982,-0.017706
1356176.000000,94.568382,0.251982,0.267183
1341785.000000,89.389435,0.292497,0.255383
1325204.000000,93.009033,0.292497,0.315362
1308687.000000,95.286835,0.282061,0.201977
1293760.000000,92.256882,0.282061,0.276474
1276925.000000,96.306206,0.300416,0.227475
1258737.000000,103.097435,0.300416,0.170438
1241533.000000,104.537125,0.187570,0.242329
1224262.000000,105.481323,0.187570,0.017518
1205432.000000,110.688766,0.163386,0.165053
1186620.000000,113.524483,0.163386,0.250271
1169376.000000,110.187500,0.092482,0.174139
1151605.000000,109.324730,0.092482,0.104496
1132748.000000,111.569016,0.121063,0.140551
1116201.000000,105.751526,0.121063,0.063545
1100118.000000,100.516212,0.182216,0.181987
1082732.000000,101.061378,0.182216,0.042088
1066321.000000,98.627357,0.215720,0.260752
1051001.000000,93.897820,0.215720,0.156144
1035253.000000,92.473366,0.292403,0.215419
1018433.000000,95.132362,0.292403,0.217819
1002404.000000,94.736542,0.269666,0.288754
987077.000000,92.704422,0.269666,0.269259
