Id_A,Iq_A,diff_rad_s,pll_rad_s
0.026353,0.283947,0.000000,-0.011695
0.026353,0.283947,0.000000,-0.005674
0.026353,0.283947,0.000000,-0.001762
0.026353,0.283947,0.000000,-0.000201
0.026353,0.283947,0.000000,-0.023383
0.026353,0.283947,0.000000,-0.023935
0.026353,0.283947,0.000000,-0.048448
0.026353,0.283947,0.000000,-0.052941
0.026353,0.283947,0.000000,-0.023990
0.026353,0.283947,0.000000,-0.019400
0.026353,0.283947,0.000000,-0.031569
0.026353,0.283947,0.000000,-0.043240
0.026353,0.283947,0.000000,-0.052866
0.026353,0.283947,0.000000,-0.088176
0.026353,0.283947,0.000000,-0.087531
0.026353,0.283947,0.000000,-0.092999
0.026353,0.283947,0.000000,-0.109333
0.026353,0.283947,0.000000,-0.050677
0.026353,0.283947,0.000000,-0.060413
0.026353,0.283947,0.000000,-0.057271
0.026353,0.283947,-0.300407,-0.075266
0.026353,0.283947,0.000000,-0.064076
0.026353,0.283947,-0.238419,-0.094219
0.026353,0.283947,0.000000,-0.074778
0.026353,0.283947,-0.238419,-0.070028
0.026353,0.283947,0.000000,-0.055887
0.026353,0.283947,0.000000,-0.054948
0.026353,0.283947,0.000000,-0.105149
0.026353,0.283947,0.000000,-0.122287
0.026353,0.283947,-0.479221,-0.113140
0.026353,0.283947,0.000000,-0.100200
0.026353,0.283947,-0.238419,-0.117749
0.026353,0.283947,-0.779629,-0.117680
0.026353,0.283947,0.000000,-0.043164
0.026353,0.283947,-0.061989,-0.018614
0.026353,0.283947,0.000000,0.000081
0.026353,0.283947,0.000000,0.012794
0.026353,0.283947,0.000000,0.012083
0.026353,0.283947,0.000000,0.042190
0.026353,0.283947,0.000000,0.154718
0.026353,0.283947,0.000000,0.152005
0.026353,0.283947,0.000000,0.166813
0.026353,0.283947,0.059605,0.139374
0.026353,0.283947,0.000000,0.108305
0.026353,0.283947,0.000000,0.099365
0.026353,0.283947,0.419617,0.069451
0.026353,0.283947,0.000000,0.068316
0.026353,0.283947,0.000000,0.065304
0.026353,0.283947,0.000000,0.052302
0.026353,0.283947,0.000000,0.031988
0.026353,0.283947,0.000000,0.018537
0.026353,0.283947,0.000000,0.065384
0.026353,0.283947,0.000000,0.091211
0.026353,0.283947,0.660419,0.146234
0.026353,0.283947,0.000000,0.095386
0.026353,0.283947,0.000000,0.161717
0.026353,0.283947,0.178814,0.197334
0.026353,0.283947,0.360012,0.191774
0.026353,0.283947,0.000000,0.194668
0.026353,0.283947,0.000000,0.219816
0.026353,0.283947,0.000000,0.262949
0.026353,0.283947,0.121593,0.241070
0.026353,0.283947,0.000000,0.201255
0.026353,0.283947,0.538826,0.246482
0.026353,0.283947,0.178814,0.186044
0.026353,0.283947,0.000000,0.166981
0.026353,0.283947,0.000000,0.171025
0.026353,0.283947,0.000000,0.185745
0.026353,0.283947,0.000000,0.100587
0.026353,0.283947,0.000000,0.146577
0.026353,0.283947,0.000000,0.159197
0.026353,0.283947,0.000000,0.160573
0.026353,0.283947,0.000000,0.145238
0.026353,0.283947,0.300407,0.173942
0.026353,0.283947,0.000000,0.166592
0.026353,0.283947,0.000000,0.172175
0.026353,0.283947,0.000000,0.201807
0.026353,0.283947,0.000000,0.177207
0.026353,0.283947,0.000000,0.211055
0.026353,0.283947,0.600815,0.274973
0.026353,0.283947,0.181198,0.232841
0.026353,0.283947,0.000000,0.201735
0.026353,0.283947,0.181198,0.205475
0.026353,0.283947,0.178814,0.223252
0.026353,0.283947,0.419617,0.189590
0.026353,0.283947,0.298023,0.195686
0.026353,0.283947,0.000000,0.151105
0.026353,0.283947,0.000000,0.177974
0.026353,0.283947,0.000000,0.172753
0.026353,0.283947,0.181198,0.189224
