dbg_id_a,dbg_iq_a,omega_diff_rad_s,omega_pll_rad_s
-0.134122,0.196173,98.268990,103.208374
-0.069989,0.241559,108.337402,104.331299
0.098475,0.191759,103.602409,106.453499
-0.131635,0.237846,100.307465,104.915436
-0.069582,0.308014,100.727081,102.046387
0.032297,0.125448,107.858185,102.957085
-0.076851,0.241477,100.548271,103.872604
-0.003518,0.182279,94.914436,100.063843
0.087448,0.156916,108.757019,100.529083
0.006183,0.264552,106.539726,104.955048
0.292111,0.199696,94.854836,102.033829
0.189918,0.106620,103.602409,100.215553
-0.086460,0.324264,110.194687,105.682449
0.001142,0.194305,94.494820,106.077759
0.026155,-0.016853,91.800690,99.681084
-0.023558,0.277877,99.587440,96.904747
0.075513,0.204291,97.610954,97.541710
-0.025601,0.202418,85.806847,93.451569
-0.029980,0.287542,93.536377,89.071587
0.006932,0.388971,102.285149,93.013390
0.141013,0.270880,91.619492,94.657181
-0.324123,0.444927,93.537575,92.017784
0.273879,0.224049,107.977394,96.937965
0.004748,0.311625,104.023224,102.783638
-0.053410,0.346549,106.000900,105.448921
0.018654,0.288498,108.877426,107.244560
0.141424,0.272447,118.344429,113.687172
0.186726,0.237608,107.498764,116.161324
-0.094508,0.010191,102.704765,112.140182
-0.149598,0.087358,116.726761,112.461746
0.001363,0.035902,108.636620,114.088821
0.038077,0.052395,95.694069,107.267220
-0.050219,0.106556,104.802254,103.550293
0.069358,0.364667,102.405251,103.430809
0.064024,0.070260,93.716682,99.705627
-0.120069,0.215809,92.877747,94.670792
-0.023904,0.288111,101.451874,94.459106
0.060485,0.275769,98.810196,96.767067
-0.040518,0.213998,93.355179,95.358665
0.093472,0.251446,100.069046,94.257957
0.161205,0.197169,108.280182,100.087334
-0.121790,0.281772,99.716187,102.711006
-0.039423,0.225933,98.514557,100.553459
0.055674,0.210564,107.011795,103.472847
0.016120,0.172485,100.612640,105.414185
-0.212099,0.102558,92.697144,101.016037
-0.081463,0.130081,94.499588,97.016541
-0.054850,0.171060,99.411011,97.846786
-0.010510,0.206902,90.303421,96.069122
-0.121790,0.562654,84.314346,90.187889
0.022791,0.106867,95.996857,90.142952
0.001496,0.503947,90.293884,91.931282
0.089616,0.301725,83.408356,87.761971
-0.142160,0.065694,93.955994,86.918076
-0.031691,0.595221,98.209381,91.365662
-0.092288,0.363566,95.577240,93.856323
0.111295,0.236015,91.743469,93.317688
-0.111122,0.316661,101.690292,96.976662
-0.066736,0.504972,106.248856,103.412300
0.036508,0.186573,96.235275,103.077492
-0.059128,0.235707,102.825165,101.334549
-0.029527,0.088550,111.331940,106.350082
-0.053843,0.002288,97.970963,106.443405
0.042950,0.251034,99.887848,102.846512
0.019897,0.152188,110.616684,104.963600
-0.035879,0.112200,101.985931,106.333809
0.036665,0.120283,96.120834,104.814148
0.051519,0.190768,102.291107,102.327621
-0.075850,0.133431,108.270645,103.561111
0.015686,0.288675,99.773407,103.341042
0.064667,0.112243,97.131729,99.172562
-0.181366,0.147114,109.720230,100.887932
-0.208844,0.255214,103.178024,104.230125
0.020677,0.258252,94.976425,102.109871
-0.047617,0.164616,105.648041,101.386490
0.061999,0.215632,104.265213,103.610733
0.195106,0.082395,97.551346,101.501884
-0.087878,0.139227,94.194412,97.335892
-0.038212,0.268543,101.690292,97.380646
0.079635,0.285929,96.349716,98.055122
-0.042438,0.099077,85.144043,93.845398
0.304867,0.408053,95.090866,90.139915
0.051734,0.255760,103.421211,94.465942
-0.063527,0.238652,89.583397,94.962868
0.125938,0.234117,95.996857,92.895943
0.080401,0.267032,107.374191,98.960625
0.020703,0.029363,104.742050,104.217705
0.011298,0.478191,103.726387,104.896545
0.145286,0.368845,108.394623,106.853683
-0.276911,0.033032,116.786957,112.388092
0.041545,0.268048,106.358528,113.481773
0.080899,0.151067,106.058121,110.045540
-0.114478,0.127517,116.248131,111.074425
0.006228,0.171251,104.980469,111.465523
0.068107,0.066310,94.075203,104.300056
-0.115378,0.147859,103.063583,100.890266
-0.033860,0.221799,100.727081,101.177048
0.061350,0.190397,94.976425,97.880409
-0.071632,0.148242,91.137886,93.150642
0.053085,0.266003,100.188255,93.728928
0.080731,0.210110,98.328590,96.157333
-0.468861,0.500021,89.526176,94.427437
-0.034280,0.262394,99.349022,93.691856
-0.013793,0.389617,107.679367,99.552032
-0.115271,0.238199,95.095634,100.887314
0.121465,0.594514,104.684830,100.820007
0.058224,0.191376,106.358528,105.197495
-0.135318,0.235770,96.893311,105.750031
-0.121093,0.201291,91.738701,100.470665
-0.274245,0.223601,95.691681,97.173180
-0.048409,0.172993,99.830627,97.435898
0.017819,0.286869,89.759827,95.817818
0.094730,0.252257,84.605217,89.430595
-0.050020,0.259854,97.613335,88.976357
0.027178,0.620913,93.779564,91.081116
0.112635,0.481245,82.569122,86.497543
0.035894,0.200848,93.474388,85.896721
0.048887,0.450744,95.391273,91.150604
0.040417,0.294047,89.159012,91.882538
-0.022975,0.248502,91.199875,91.028343
-0.011177,0.446795,104.441643,94.894753
0.064886,0.289632,101.504326,100.866562
-0.019932,0.155332,93.176369,100.926010
-0.032353,0.323228,107.078552,100.506279
0.027949,0.223344,111.212730,106.955521
-0.020697,0.233994,96.173286,106.033539
0.094713,0.296921,101.146698,102.729218
-0.074798,0.237410,109.295845,105.476364
0.100062,0.149190,105.280876,106.640358
0.030449,0.156736,96.774101,104.236336
0.074021,0.231463,102.105141,102.302620
-0.077853,0.132272,106.480125,104.051071
-0.051689,0.284443,97.670555,103.202202
-0.047401,0.003475,98.209381,99.350471
-0.035765,0.160710,112.171173,102.765152
0.271201,0.278341,101.447105,105.198112
0.155081,0.130126,95.334053,101.051506
-0.173404,0.182155,113.370422,102.105934
-0.105233,0.333511,112.292770,107.050392
0.000256,0.220743,92.639923,104.009995
-0.106552,0.238194,95.393661,98.343452
0.041144,0.368918,101.506714,97.722115
0.198975,0.387500,94.316010,97.329475
