raw21,omega_pll,Iq_ref,dbg_iq_a
1810629.000000,301.275177,0.132446,0.110811
1763032.000000,301.214996,0.043232,0.108338
1712122.000000,301.982941,0.043232,0.109669
1660624.000000,300.780640,0.155864,0.031101
1609525.000000,298.950165,0.155864,0.123668
1558894.000000,297.821991,0.473610,0.153713
1508622.000000,297.567871,0.473610,0.372968
1457033.000000,297.323364,0.553827,0.450416
1406968.000000,297.195251,0.553827,0.591206
1358480.000000,297.915009,0.531094,0.560235
1310805.000000,298.695099,0.531094,0.466803
1260870.000000,299.941498,0.364449,0.357836
1207990.000000,299.881989,0.364449,0.373351
1153681.000000,300.021942,0.258448,0.357758
1101639.000000,300.135803,0.258448,0.030465
1052363.000000,299.753601,0.304559,0.046835
1003480.000000,299.608246,0.304559,0.264586
953095.000000,300.288818,0.292534,0.358535
901085.000000,301.262085,0.292534,0.388774
852852.000000,301.090729,0.154545,0.218646
806911.000000,300.890564,0.154545,0.218112
762066.000000,300.182434,0.218655,0.399722
715278.000000,300.640869,0.218655,0.191319
665751.000000,300.970825,0.155852,0.394170
614515.000000,300.553986,0.155852,0.188365
563921.000000,298.629608,0.365036,0.203252
513903.000000,297.683868,0.365036,0.325292
463639.000000,297.077576,0.571463,0.372289
412359.000000,297.413818,0.571463,0.401039
360886.000000,297.487640,0.525712,0.451246
313196.000000,297.682129,0.525712,0.404503
266044.000000,298.618195,0.494472,0.513464
216901.000000,299.256958,0.494472,0.451256
163501.000000,299.950867,0.355899,0.373228
108546.000000,299.864655,0.355899,0.373393
55503.000000,300.034149,0.290210,0.295494
5457.000000,300.081238,0.290210,0.295443
2053040.000000,300.825165,0.218986,0.247916
2002042.000000,301.384125,0.218986,0.389021
1950547.000000,301.274872,0.176119,0.139157
1901826.000000,301.272705,0.176119,0.208146
1855379.000000,300.873810,0.190987,0.045493
1809979.000000,300.621735,0.190987,0.371113
1762321.000000,300.829590,0.105663,0.138973
1711373.000000,301.856506,0.105663,0.030243
1659819.000000,300.708405,0.158672,0.227027
1608493.000000,299.665527,0.158672,0.150125
1557902.000000,298.079254,0.438082,0.104893
1507535.000000,298.110199,0.438082,0.221750
1455851.000000,297.915894,0.454765,0.413355
1405881.000000,297.636566,0.454765,0.636160
1357443.000000,298.040131,0.492505,0.187846
1309696.000000,298.831116,0.492505,0.437125
1259607.000000,299.886078,0.348937,0.389508
1206582.000000,300.000061,0.348937,0.357443
1152374.000000,299.787537,0.280954,0.292904
1100504.000000,299.870026,0.280954,0.342133
1051193.000000,299.897095,0.269567,0.246810
1001967.000000,300.820984,0.269567,0.234759
951667.000000,300.541992,0.248191,0.501872
900034.000000,300.285645,0.248191,0.296348
852039.000000,299.624939,0.297295,0.231746
806124.000000,300.021210,0.297295,0.309585
761236.000000,299.776337,0.248051,0.214862
714455.000000,300.470184,0.248051,0.235962
664942.000000,300.655121,0.207295,-0.004406
613785.000000,300.142365,0.207295,0.267206
563070.000000,298.582886,0.370761,0.248713
513018.000000,297.818970,0.370761,0.291433
462625.000000,297.575653,0.527725,0.385849
411405.000000,297.783325,0.527725,0.456555
359971.000000,297.808472,0.482518,0.154255
312236.000000,298.192841,0.482518,0.650528
264998.000000,298.949646,0.434394,0.450450
215677.000000,299.652100,0.434394,0.496406
162234.000000,299.842865,0.357057,0.370256
107313.000000,299.834778,0.357057,0.326821
54230.000000,300.277893,0.275088,0.249311
4384.000000,300.089111,0.275088,0.312996
2052131.000000,300.060211,0.284791,0.334481
2001021.000000,301.148346,0.284791,0.247447
1949297.000000,301.654816,0.137656,0.079652
1900592.000000,301.770905,0.137656,0.158900
1853953.000000,301.962006,0.064252,0.064164
1808531.000000,301.633392,0.064252,0.175828
1760911.000000,301.024780,0.041814,0.064457
1710005.000000,301.737976,0.041814,0.322550
1658488.000000,300.115784,0.179318,0.045904
1607313.000000,298.771027,0.179318,0.087201
1556707.000000,297.336853,0.509478,0.012976
1506285.000000,297.804932,0.509478,0.378902
1454765.000000,297.301147,0.502861,0.454675
1404744.000000,297.712921,0.502861,0.530953
1356449.000000,297.692413,0.488633,0.435968
1308598.000000,298.845520,0.488633,0.404773
1258558.000000,299.251160,0.392754,0.408233
1205518.000000,299.476257,0.392754,0.435965
1151148.000000,299.937439,0.288662,0.374675
1099426.000000,300.052887,0.288662,0.326745
1050221.000000,299.858459,0.259153,0.218422
1001060.000000,300.539398,0.259153,0.206763
950808.000000,300.003387,0.269336,0.095089
899021.000000,300.316711,0.269336,0.281598
850860.000000,300.165588,0.230495,0.239643
805015.000000,300.484253,0.230495,0.171356
760044.000000,300.307404,0.198414,0.140302
713199.000000,301.112701,0.198414,0.159131
663524.000000,301.174316,0.113463,-0.168465
