raw21,omega_pll_rad_s,Iq_ref,dbg_iq_a
323457.000000,14.389464,0.173743,0.168843
321172.000000,14.077806,0.173743,0.152735
318957.000000,13.827066,0.179849,0.154176
316825.000000,13.620411,0.179849,0.202421
314763.000000,13.368917,0.184946,-0.026331
312743.000000,13.182697,0.184946,0.146749
310753.000000,13.088638,0.188332,0.182425
308815.000000,13.008231,0.188332,0.152590
306879.000000,12.965825,0.190999,0.249663
304930.000000,12.992483,0.190999,0.198614
302941.000000,13.129107,0.190702,0.194876
300931.000000,13.241969,0.190702,0.080722
298878.000000,13.368381,0.187791,0.184759
296738.000000,13.709794,0.187791,0.204718
294585.000000,13.916964,0.182860,0.189751
292349.000000,14.253530,0.182860,0.191617
290084.000000,14.328743,0.177661,0.303629
287764.000000,14.418413,0.177661,0.199297
285416.000000,14.525986,0.176235,0.185435
283031.000000,14.638253,0.176235,0.194196
280694.000000,14.530005,0.174616,0.178972
278336.000000,14.434287,0.174616,0.201369
276015.000000,14.293715,0.176073,0.200394
273697.000000,14.177787,0.176073,0.250599
271400.000000,14.059170,0.179123,0.171072
269123.000000,13.904570,0.179123,0.201567
266861.000000,13.766163,0.181617,0.151370
264578.000000,13.884811,0.181617,0.152274
262292.000000,14.073955,0.181288,0.300757
259910.000000,14.660611,0.181288,0.312654
257559.000000,15.011737,0.172641,0.203493
255154.000000,15.561445,0.172641,0.218891
252666.000000,16.285666,0.162434,0.106078
250035.000000,17.161224,0.162434,-0.058556
247312.000000,17.882959,0.147333,0.024387
244463.000000,18.630014,0.147333,0.082119
241503.000000,19.034424,0.132787,0.177772
238377.000000,19.458576,0.132787,0.109928
235134.000000,19.456186,0.124725,0.048059
231879.000000,19.367420,0.124725,0.073534
228584.000000,19.213861,0.126894,0.047628
225240.000000,19.093449,0.126894,-0.162195
221892.000000,19.042704,0.128628,-0.093603
218485.000000,19.216898,0.128628,0.115211
215241.000000,18.903690,0.128882,0.138945
211971.000000,18.665541,0.128882,0.075940
208743.000000,18.423698,0.134646,0.131679
205653.000000,17.785517,0.134646,0.270673
202623.000000,17.330870,0.143757,0.120797
199512.000000,17.220804,0.143757,0.131383
196421.000000,17.374697,0.148758,0.116516
193464.000000,17.243849,0.148758,0.155120
190496.000000,17.228964,0.147793,0.000267
187502.000000,17.320078,0.147793,0.152522
184532.000000,17.344511,0.147934,0.114499
181491.000000,17.460480,0.147934,0.151776
178418.000000,17.400255,0.143197,0.187159
175375.000000,17.119442,0.143197,0.169345
172338.000000,16.771727,0.150624,0.155425
169330.000000,16.287827,0.150624,0.202341
166426.000000,15.419750,0.160044,0.187458
163509.000000,14.772222,0.160044,0.168926
160700.000000,14.045057,0.174297,0.006859
157982.000000,13.298454,0.174297,0.178712
155358.000000,12.710049,0.189001,0.129504
152811.000000,12.279568,0.189001,0.179698
150369.000000,11.952894,0.198202,0.163448
148018.000000,11.697507,0.198202,0.163356
145680.000000,11.855920,0.203382,0.055550
143478.000000,11.646866,0.203382,0.121989
141319.000000,11.600529,0.203591,0.317239
139269.000000,11.322518,0.203591,0.300632
137261.000000,11.139714,0.207100,0.267685
135301.000000,10.892167,0.207100,0.186111
133329.000000,10.841023,0.211287,0.195404
131417.000000,10.759655,0.211287,0.193894
129464.000000,10.838040,0.213573,0.190759
127535.000000,10.718058,0.213573,0.196705
125654.000000,10.607808,0.213870,0.194007
123750.000000,10.678588,0.213870,0.197696
121752.000000,11.025026,0.212344,0.202783
119810.000000,11.102436,0.212344,0.212833
117827.000000,11.257730,0.209488,0.204750
115785.000000,11.528114,0.209488,0.215056
113656.000000,11.800645,0.202532,0.166405
111513.000000,11.922311,0.202532,0.156354
109333.000000,12.088957,0.202225,0.192939
