raw21,omega_pll,Iq_ref,Iq_meas
1848449.000000,15.223486,0.169167,0.159838
1845996.000000,15.135090,0.169224,0.133954
1843592.000000,14.893808,0.169224,0.171727
1841268.000000,14.453261,0.176048,-0.188403
1838993.000000,13.979704,0.176048,0.115358
1836725.000000,13.639910,0.184195,0.427483
1834500.000000,13.316150,0.184195,0.327190
1832319.000000,13.015010,0.190464,0.296315
1830102.000000,12.938167,0.190464,0.336481
1827804.000000,13.182604,0.188806,0.256314
1825612.000000,13.087873,0.188806,0.013386
1823365.000000,13.212562,0.188525,0.217574
1821026.000000,13.589869,0.188525,0.206703
1818613.000000,14.081692,0.179842,0.142929
1816088.000000,14.747620,0.179842,0.092464
1813440.000000,15.552004,0.165134,0.277790
1810699.000000,16.344986,0.165134,0.248321
1807911.000000,16.937284,0.151262,0.124071
1804946.000000,17.771362,0.151262,0.144925
1801915.000000,18.444092,0.136159,0.094819
1798879.000000,18.779432,0.136159,0.124740
1795803.000000,19.007412,0.130486,0.047564
1792736.000000,19.032066,0.130486,0.035632
1789670.000000,18.962013,0.130900,0.228231
1786670.000000,18.647627,0.130900,0.194769
1783590.000000,18.634464,0.134139,0.088294
1780577.000000,18.414204,0.134139,0.162767
1777474.000000,18.531281,0.135136,0.156718
1774584.000000,17.932276,0.135136,0.099096
1771716.000000,17.462633,0.145798,0.159256
1768757.000000,17.487188,0.145798,0.189521
1765862.000000,17.314865,0.147252,0.210125
1762865.000000,17.517141,0.147252,0.169023
1759826.000000,17.809797,0.142275,0.183803
1756741.000000,18.140175,0.142275,0.187493
1753509.000000,18.795521,0.132380,0.171283
1750316.000000,19.104219,0.132380,0.195334
1747089.000000,19.356594,0.126725,0.127001
1743796.000000,19.736118,0.126725,0.159380
1740613.000000,19.597034,0.124275,0.189492
1737265.000000,19.993832,0.124275,0.109155
1733965.000000,20.030235,0.119893,0.136091
1730733.000000,19.848717,0.119893,-0.027219
1727626.000000,19.262529,0.127527,0.139777
1724710.000000,18.259613,0.127527,0.079751
1721855.000000,17.413877,0.145989,0.138556
1719137.000000,16.486763,0.145989,0.133810
1716488.000000,15.752035,0.162600,0.186553
1713972.000000,14.948902,0.162600,-0.018476
1711541.000000,14.268258,0.177445,0.085788
1709135.000000,13.870632,0.177445,0.110339
1706768.000000,13.576677,0.184375,0.343088
1704444.000000,13.370518,0.184375,0.123028
1702160.000000,13.201731,0.188143,0.094772
1699812.000000,13.365156,0.188143,0.243346
1697492.000000,13.464335,0.185532,0.142553
1695122.000000,13.729330,0.185532,0.454452
1692758.000000,13.917068,0.181016,-0.076817
1690329.000000,14.240010,0.181016,0.112707
1687968.000000,14.254534,0.177649,0.028677
1685602.000000,14.252748,0.177649,0.115544
1683259.000000,14.177179,0.178430,0.142805
1680918.000000,14.112417,0.178430,0.172176
1678664.000000,13.814805,0.182066,0.245521
1676471.000000,13.415648,0.182066,0.193036
1674263.000000,13.195736,0.188275,0.187710
1672172.000000,12.724325,0.188275,0.241463
1670073.000000,12.459085,0.195667,0.385118
1668037.000000,12.132615,0.195667,0.151867
1666035.000000,11.852847,0.201760,0.517388
1664046.000000,11.689623,0.201760,0.028118
1662111.000000,11.470446,0.205620,0.233165
1660126.000000,11.508019,0.205620,0.103538
1658069.000000,11.818094,0.202175,-0.001728
1656066.000000,11.898588,0.202175,0.324493
1653950.000000,12.285667,0.197526,0.186136
1651816.000000,12.617472,0.197526,0.197485
1649686.000000,12.805690,0.192348,0.142543
1647473.000000,13.153601,0.192348,0.192003
1645226.000000,13.474837,0.185672,0.247569
1642894.000000,13.911535,0.185672,0.162675
1640474.000000,14.428810,0.176138,0.214057
1637987.000000,14.945457,0.176138,0.277977
1635426.000000,15.453606,0.165885,0.178530
1632783.000000,15.959312,0.165885,0.171153
1630037.000000,16.540394,0.155002,0.174268
1627239.000000,17.019035,0.155002,0.150078
1624422.000000,17.318428,0.147199,0.086806
1621617.000000,17.384850,0.147199,0.151505
1618782.000000,17.422749,0.146131,0.105143
1615920.000000,17.463318,0.146131,0.082683
1613121.000000,17.256737,0.147769,0.111371
1610324.000000,17.070156,0.147769,0.106242
1607498.000000,17.026299,0.150053,0.093274
1604754.000000,16.746544,0.150053,0.083258
1602018.000000,16.519077,0.155110,0.129964
1599275.000000,16.400692,0.155110,0.158317
1596198.000000,17.410587,0.146171,0.181185
1593143.000000,17.984983,0.146171,0.179388
1590388.000000,17.435904,0.145893,0.143238
1587603.000000,17.108301,0.145893,0.230086
1584789.000000,16.953728,0.150695,0.015070
1581849.000000,17.258726,0.150695,-0.056698
1578941.000000,17.375710,0.146452,0.270724
1576032.000000,17.447283,0.146452,0.049019
1573040.000000,17.734016,0.142841,0.201029
1570060.000000,17.881086,0.142841,0.124918
1567032.000000,18.098076,0.139170,0.210206
1564003.000000,18.227472,0.139170,0.182730
1561024.000000,18.129871,0.138821,-0.012435
1558024.000000,18.098967,0.138821,0.201978
1555111.000000,17.795834,0.142133,0.140297
1552230.000000,17.461626,0.142133,0.222565
1549404.000000,17.087492,0.149196,0.308271
1546726.000000,16.404026,0.149196,-0.051603
1544117.000000,15.760296,0.162460,0.042245
1541633.000000,15.007004,0.162460,0.440954
1539236.000000,14.304588,0.177024,0.150795
1536955.000000,13.567148,0.177024,0.148602
1534738.000000,12.957676,0.190514,-0.143590
1532555.000000,12.567551,0.190514,0.215270
1530419.000000,12.285217,0.197265,0.603862
1528351.000000,11.982952,0.197265,0.334070
1526294.000000,11.825650,0.201893,0.236513
1524226.000000,11.825351,0.201893,0.231312
1522078.000000,12.167416,0.198503,0.238261
1519988.000000,12.260897,0.198503,0.137744
1517763.000000,12.779509,0.192405,0.302199
1515603.000000,12.929977,0.192405,0.167390
1513329.000000,13.373269,0.186483,0.247251
1511066.000000,13.612917,0.186483,0.377401
1508743.000000,13.923397,0.180993,0.154142
1506357.000000,14.281864,0.180993,0.369905
1503999.000000,14.400668,0.176226,0.147463
1501632.000000,14.421514,0.176226,0.391801
1499231.000000,14.524073,0.174997,0.210232
1496787.000000,14.697323,0.174997,0.049409
1494423.000000,14.550650,0.174736,0.376203
1492087.000000,14.337723,0.174736,0.164294
1489731.000000,14.219088,0.178059,0.168818
1487375.000000,14.151693,0.178059,0.146198
1485066.000000,13.955710,0.180703,0.195942
1482712.000000,13.986751,0.180703,0.242378
1480352.000000,13.989803,0.180372,0.208743
1477965.000000,14.086474,0.180372,0.180895
1475470.000000,14.538804,0.174887,0.246807
1472900.000000,15.038700,0.174887,0.199762
1470358.000000,15.304288,0.167229,0.228975
1467746.000000,15.632408,0.167229,0.252365
1464948.000000,16.403351,0.156224,0.204005
1462157.000000,16.864252,0.156224,0.202235
1459269.000000,17.383251,0.146402,0.148578
1456299.000000,17.915199,0.146402,0.153101
1453228.000000,18.507294,0.135126,0.174690
