raw21,omega_pll,Iq_ref,dbg_iq_a
1600640.000000,20.041740,0.168411,0.135922
1596911.000000,20.601896,0.169734,0.169649
1593185.000000,21.206705,0.169734,0.127364
1589741.000000,20.799423,0.164167,0.161665
1586263.000000,20.832500,0.164167,0.153459
1582713.000000,21.292156,0.163900,0.216321
1579066.000000,21.929213,0.163900,0.171784
1575429.000000,22.303793,0.152828,0.233895
1571752.000000,22.545898,0.152828,0.042467
1568015.000000,22.622807,0.148134,-0.071647
1564268.000000,22.228413,0.148134,0.280376
1560508.000000,21.867538,0.152203,0.105712
1556746.000000,21.244640,0.152203,0.173218
1553095.000000,20.443539,0.164317,0.129530
1549455.000000,20.086599,0.164317,0.036149
1545961.000000,19.798265,0.173998,0.115484
1542593.000000,19.408529,0.173998,0.104228
1539361.000000,19.160934,0.179730,0.171056
1536221.000000,18.890821,0.179730,0.012168
1533208.000000,18.596033,0.186054,0.005944
1530201.000000,18.289978,0.186054,0.311251
1527278.000000,17.959991,0.193560,0.072627
1524347.000000,17.783964,0.193560,0.152320
1521380.000000,17.810532,0.195508,0.248971
1518361.000000,17.983959,0.195508,0.132083
1515298.000000,18.183456,0.192560,0.186065
1512142.000000,18.440639,0.192560,0.190310
1508950.000000,18.503090,0.188761,0.222661
1505662.000000,18.587580,0.188761,0.350113
1502349.000000,18.361021,0.188823,0.198600
1499058.000000,18.064854,0.188823,0.284255
1495744.000000,17.782196,0.195128,0.161614
1492446.000000,17.719835,0.195128,0.245716
1489256.000000,17.487625,0.197355,0.158943
1486070.000000,17.546230,0.197355,0.201684
1482952.000000,17.783459,0.197731,0.219191
1479773.000000,18.296368,0.197731,0.240536
1476688.000000,18.488745,0.189196,0.215393
1473384.000000,19.414768,0.189196,0.213487
1470051.000000,20.231823,0.176873,0.215266
1466813.000000,20.391075,0.176873,0.211352
1463229.000000,21.264006,0.162616,0.172602
1459723.000000,21.409857,0.162616,0.203576
1456013.000000,21.695782,0.156678,0.189880
1452212.000000,21.924452,0.156678,0.186190
1448302.000000,22.123371,0.154343,0.187176
1444300.000000,22.633511,0.154343,0.162685
1440330.000000,22.807077,0.146902,0.186984
1436368.000000,23.089228,0.146902,0.288536
1432472.000000,23.178944,0.142003,0.143165
1428652.000000,23.025381,0.142003,0.049155
1424900.000000,22.795666,0.144997,0.054675
1421304.000000,22.263256,0.144997,0.130234
1417704.000000,22.231339,0.152770,-0.215564
1414179.000000,22.225788,0.152770,0.053801
1410687.000000,22.229956,0.150320,0.090495
1407174.000000,22.342108,0.150320,0.092777
1403597.000000,22.603741,0.151241,0.291941
1400129.000000,22.144753,0.151241,-0.033230
1396530.000000,22.045349,0.152174,0.171137
1392926.000000,21.765654,0.152174,0.182693
1389387.000000,21.319096,0.157520,0.169122
1385861.000000,20.914925,0.157520,0.100662
1382402.000000,20.636131,0.165981,0.185563
1378989.000000,20.425640,0.165981,0.182117
1375635.000000,20.227980,0.171358,0.232238
1372430.000000,19.814531,0.171358,0.087500
1369292.000000,19.535217,0.176633,0.268038
